Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
17404	11011	8190	1531	3100	25217	
16980	10724	8358	1476	2705	39172	
16920	11076	7714	1483	2863	24577	
16636	10399	8111	1516	2952	25327	
16756	10846	8566	1516	3136	25362	
17348	10698	8366	1473	2997	26828	
17274	10820	8598	1488	2427	22837	
15840	10209	7377	1460	2380	24465	
16480	11197	7546	1500	2590	24526	
16777	10969	7625	1504	3197	25823	
17287	10877	7903	1493	2963	24919	
17203	11087	7714	1562	2801	24722	
17190	10869	8167	1477	2434	21907	
15097	10199	7807	1434	9949	71620	
35169	13577	13740	2943	2875	25125	
18021	10546	11025	2466	2665	25324	
16977	26856	9018	1461	2706	24830	
17035	10369	7854	1435	2400	30215	
17303	10608	8164	1402	2578	23925	
15668	9870	7860	1360	2457	23271	
15186	11360	10512	2090	2600	23404	
15275	9872	7618	1342	2054	22224	
14862	9596	7611	1428	3395	27519	
19569	11683	7848	1520	2861	34348	
18548	40716	9974	1515	2698	25983	
16740	10229	7578	1417	2300	23484	
15778	10026	6994	1360	2474	24362	
16314	10288	7328	1458	3111	27885	
17837	11545	8194	1514	2688	25781	
16991	10417	8786	1437	3603	28477	
18386	11066	8402	1469	2815	24534	
16789	10303	8106	1398	2609	24700	
16164	10218	7360	1480	3097	31200	
29271	12109	8085	1431	2597	24154	
15516	9984	6804	1326	3435	27989	
21957	11306	8033	1531	3229	26663	
17221	10789	8032	1486	3154	27651	
18749	15911	10919	1948	2846	24663	
23819	11662	7844	1456	3616	33865	
18318	11178	7880	1572	2974	26925	
17686	10728	8501	1570	3663	36581	
25154	17144	8998	1482	2760	24152	
15943	10351	7330	1437	2688	23782	
15998	9991	7144	1416	2637	23544	
15371	9825	7160	1411	2325	23323	
15425	9698	7417	1367	2892	27288	
18651	11223	8154	1480	2578	23956	
20989	11215	7276	1385	2417	23893	
16200	10074	6851	1366	2913	26098	
24329	11178	7580	1507	2518	27368	
21995	15677	10129	1951	2714	28231	
16772	10592	7310	1438	2593	22821	
15738	9543	7182	1362	3515	28355	
18098	11102	7893	1483	2836	27317	
15878	10337	14586	1583	2458	24064	
