Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1218040	446784	748321	5123	10314	492609	
1184454	322167	682582	4807	8343	429544	
1179366	337271	701025	5231	8218	419881	
1131152	261980	567926	4485	11489	422522	
1223874	1360773	805946	5273	37366	568230	
1037190	256911	656153	4723	11452	511524	
1080464	332933	853667	5388	9283	468049	
1100848	430383	726785	5392	9538	403472	
1109069	319585	611835	5116	8983	501367	
1258066	1301222	774850	5111	9272	313982	
1267104	319807	633307	6095	9163	447066	
1181045	275292	893241	10189	13918	404651	
1152295	298956	797825	12165	29260	512304	
1169163	231970	661390	6753	8300	505646	
1051477	1321761	758428	4900	11304	401466	
1059474	214108	821130	6392	12953	471705	
1119243	297658	737042	6027	10436	508846	
1239939	327860	594324	4599	8693	506557	
1238569	366721	801219	5659	8069	476547	
1324844	1553645	774976	5847	12166	523672	
1161693	380226	679360	4819	8895	433405	
1103891	251628	698433	6560	8926	521410	
1136752	280744	633348	4739	8406	494210	
1160614	320717	568957	6090	9229	410618	
1092708	1180328	707834	4955	26841	603496	
1054040	300340	821849	4573	9056	536128	
1160425	287540	690213	5675	11030	468869	
1002266	232081	579986	4618	8603	481626	
1106909	339635	638050	5155	35222	387120	
1191236	1108949	880497	6307	12802	437764	
1054212	263688	710242	4384	13492	392166	
1175735	378247	588782	5014	9070	410822	
1054279	270970	652555	6446	7854	432695	
1171425	273236	609972	5163	10307	521157	
1101838	1437906	738359	4924	7995	431850	
1305452	283575	717394	5331	33435	583012	
1097720	380801	715270	4625	9461	431058	
1067989	276964	741350	5497	10186	465265	
1071552	321414	683650	4997	10931	487061	
1090563	1147347	701165	5038	14841	478114	
1323920	327128	952160	5053	11324	602600	
1174734	427128	801135	5041	10924	428935	
1245908	311751	624340	5509	9647	550384	
1026690	251016	653537	4547	8168	438445	
1216813	1265039	2550598	3616	27499	370175	
1254246	287195	954580	5340	29758	461954	
1216523	411106	877472	6034	10850	395042	
1052564	371454	623947	4649	8454	524128	
1152097	280610	740820	4907	8353	367548	
1107954	1117989	708985	4594	10425	417820	
1045993	255715	605064	4429	8444	506651	
1094246	289807	687409	5111	8091	402628	
1176278	271801	621523	5178	8511	300577	
1119820	280050	591946	5129	12101	392350	
1127648	1232689	618148	4429	13417	437724	
1088238	246747	776386	6043	8862	587595	
1032988	275015	536822	4462	7669	347573	
1164964	290709	614749	4609	8733	407010	
1017341	257887	707064	5721	23709	433195	
1025157	1237409	640630	4528	11103	403440	
1100606	254522	565254	4198	9234	337654	
1111380	274998	746305	5446	9819	532506	
1085068	283004	522892	4500	8958	332049	
1070579	340276	675799	4694	7894	441391	
1057386	1186606	708466	6574	9596	553397	
1063082	243523	583612	4478	10334	544655	
1101313	338360	680483	5151	12315	437485	
1236465	268573	639470	5042	11905	548131	
1095735	267417	680830	5331	8139	394492	
1084302	1250891	659190	4760	22860	440230	
1249120	311183	607623	4423	7678	523504	
1090311	332383	678542	4916	18383	443448	
1097328	266422	590845	5120	8998	469010	
1040467	295047	643123	3919	8840	453731	
1051097	1253217	749257	5273	8957	417390	
1114997	238159	556709	4248	8289	473894	
1050076	304623	583333	4191	9072	332885	
1168533	296262	762872	4596	7593	480876	
1259560	379629	630433	4594	10583	499322	
1016957	1507972	645354	4740	9863	437489	
1032910	283176	655138	4633	9980	452263	
1043493	250543	682563	4463	9465	425834	
1175401	287954	721389	4711	8574	362983	
1190321	331023	531985	5045	8769	428006	
