276689	83450	170619	2900	17007	151819	
208524	81003	276069	2677	4753	202892	
193107	70556	163632	1762	4679	165759	
268907	73251	172200	2059	4896	125276	
213069	110297	163733	1948	4114	108683	
240583	72118	165760	1782	5663	122452	
219753	70882	153784	1737	4544	119706	
180344	67369	162722	1821	4741	116730	
186119	70886	162612	2014	4781	113224	
224300	100380	214738	2986	6769	139147	
338242	120001	178193	1905	4842	125118	
180835	69378	160126	1837	4608	101139	
264329	70179	155552	1841	5107	146690	
188522	78220	168532	1837	4500	117832	
230280	68598	176448	1953	4548	118142	
213403	74037	156625	1901	6837	123418	
195972	67115	182083	2514	4634	121072	
266954	156403	192298	1901	4503	109771	
273966	76309	157777	1864	4755	104530	
219991	70188	156219	1821	4646	115482	
185305	71581	168695	1730	4561	147219	
189129	69469	154641	1704	4726	114527	
206574	158989	234934	1904	4925	105109	
255873	72940	185328	1777	4697	124760	
393034	86372	235000	2562	10487	123953	
182843	74976	209366	2204	15006	142108	
178197	66467	151045	1720	4496	114986	
300576	93529	168388	1998	4823	116654	
199924	69964	181460	1884	4500	109403	
238737	69278	153900	1796	5116	110788	
173257	67415	256416	1708	4506	111818	
175125	68223	150396	1828	4654	108589	
163819	65287	151377	1727	4669	118990	
241149	72649	174547	1853	4757	115337	
171967	67051	152849	1757	4697	107529	
179879	67471	151237	1752	4666	112065	
195059	67921	164833	1946	4674	99711	
204682	72009	199684	2411	5178	105257	
182094	69285	151734	1828	4797	118065	
171814	67614	152033	1818	4575	173991	
258751	110433	165735	1975	4545	107096	
178637	90730	167040	1932	12465	154801	
188866	71061	161704	1896	5230	107634	
177832	70809	176689	1948	4760	139088	
185115	106226	163182	1826	4724	117868	
178814	78002	182191	1903	5251	113083	
188012	73025	238671	2665	5133	127213	
191196	70125	202165	3184	5893	123669	
193835	68340	151658	1733	4874	152309	
248758	72498	164192	2034	4918	116601	
196338	73014	158114	2054	5177	131759	
211257	70044	156050	1782	4689	115072	
391071	83842	353226	3848	6115	117778	
178070	73622	160302	1892	4840	112905	
181319	70123	155251	1831	4520	108803	
221225	85911	159941	1875	4986	107789	
402951	181274	263171	2102	4929	87332	
181100	66531	171969	1705	5103	128370	
182697	70646	154511	1798	5391	143234	
172261	67851	158671	1743	4639	199173	
179825	67220	150478	1740	4701	115397	
195066	76201	207981	1880	4694	114218	
262060	71412	164714	1807	4457	103409	
175035	75423	200193	2783	5135	120078	
271986	78212	159216	1906	4753	106621	
237544	74300	191179	2204	4947	118922	
219469	72220	189130	1916	6237	108459	
178147	71094	170502	1818	5020	138525	
227966	119111	187762	1936	4637	104407	
202802	68963	233435	2546	4942	111298	
172354	79241	176495	2337	4831	110820	
183560	95600	304762	2918	5185	125633	
247945	69261	364495	2186	5158	126830	
227752	74246	156519	1762	4949	107719	
183246	70145	166697	1795	5004	107387	
179888	67289	206935	1802	4469	132909	
224935	150771	170051	1913	4757	120392	
207899	69994	191572	1835	4889	118384	
176753	68900	157567	2061	4880	115960	
224092	68707	161610	1911	4777	104851	
204356	70405	229952	1684	4842	144878	
195157	72603	156274	1829	5558	108164	
218711	69586	155074	1834	4780	119212	
198918	70651	191210	2197	4924	102507	
174598	67380	175193	2122	4792	117497	
181208	68800	153858	1705	4670	110188	
211326	71212	179320	1834	4567	102336	
317068	84296	160446	1817	6580	135913	
187000	83207	158839	1768	4729	112578	
187291	67879	155390	1679	4765	109055	
171466	71862	158337	1976	4941	106958	
191682	96931	183566	1828	4545	139950	
179720	67671	156197	1744	4828	117349	
229720	71250	206268	1831	5549	174507	
180105	127980	164687	1880	4774	108381	
175394	71816	188814	1711	4640	115164	
311810	81794	188991	1811	4792	151416	
236082	169860	208991	2165	4920	108995	
238265	72310	163230	1849	4900	151787	
190706	93075	170219	2005	12672	106103	
187607	69468	204134	2630	5206	116661	
214353	80619	173470	2073	4819	100704	
180561	68968	163170	1836	4585	110011	
213185	121354	243136	2267	6009	173906	
226526	75692	164704	1860	4828	127927	
323494	102205	192268	1946	4300	133407	
166597	67613	151412	1743	4616	119508	
219421	73518	235732	2963	5019	106678	
315220	75605	172794	1973	4655	148591	
178117	70777	176943	2015	5060	106964	
295087	155970	283948	2316	4789	124731	
265511	70585	157980	1712	4883	127251	
175957	158533	198565	2170	4758	108222	
191508	69525	154741	1798	4785	101111	
236090	69845	155799	1776	4580	117771	
233511	70390	179609	1842	5461	115331	
219666	116280	184498	1890	5056	168168	
206186	119040	171546	1829	4999	101832	
171949	69848	192573	1715	5016	121594	
170312	73695	156307	1758	4971	117043	
175397	97875	159288	1709	4429	110029	
214183	68598	156485	1757	4785	114277	
203685	69467	153193	1849	4866	166894	
228722	78429	175851	1892	4929	106311	
192189	67150	217481	1969	4692	115089	
201647	76883	278830	1893	4920	137263	
199200	70737	171467	2049	5770	106994	
187268	68738	157344	1778	4871	102560	
176112	145961	183858	1953	6755	141191	
184815	76734	169857	1856	5052	103207	
174257	69115	190856	1784	4811	157742	
199529	71561	193746	2078	5433	117470	
223746	119726	174894	1898	4767	121954	
190649	77100	219455	3615	5078	110378	
184493	79923	159005	1812	4686	117417	
191556	69580	159769	1756	4771	101902	
180465	89057	159909	1863	4612	115080	
179947	73730	170120	1849	4596	100576	
253654	108469	180234	1909	4710	121048	
178280	70754	157342	1808	4772	107264	
173906	68819	155206	1843	4640	116298	
185139	74983	156447	1878	4636	100976	
187978	68383	174029	3194	4575	117053	
175429	68724	157754	1720	4913	107349	
225800	70471	154924	1713	4902	104147	
204657	69792	158997	2005	39348	314208	
269502	75571	168421	1974	5188	155755	
268453	85156	264773	2048	5346	121845	
184980	70225	161488	2101	8298	101136	
196952	115847	175846	1872	8306	154823	
186731	94163	173178	1975	4503	116581	
191256	89559	198763	3972	5683	106184	
182794	233268	178372	1848	7866	132883	
180097	69774	208231	2837	4996	109484	
198780	67929	152587	1719	4756	157342	
194286	83239	269337	5136	5781	168711	
205037	148113	198814	1934	5262	128546	
190547	116906	210807	2799	5322	104691	
183018	70198	306912	1945	4902	140577	
